,0
0,Afghanistan crypto ownership
1,Albania crypto ownership
2,Algeria crypto ownership
3,Angola crypto ownership
4,Argentina crypto ownership
5,Armenia crypto ownership
6,Australia crypto ownership
7,Austria crypto ownership
8,Azerbaijan crypto ownership
9,Bahamas crypto ownership
10,Bahrain crypto ownership
11,Bangladesh crypto ownership
12,Barbados crypto ownership
13,Belarus crypto ownership
14,Belgium crypto ownership
15,Belize crypto ownership
16,Benin crypto ownership
17,Bermuda crypto ownership
18,Bolivia crypto ownership
19,Bosnia and Herzegovina crypto ownership
20,Botswana crypto ownership
21,Brazil crypto ownership
22,Brunei Darussalam crypto ownership
23,Bulgaria crypto ownership
24,Burkina Faso crypto ownership
25,Cabo Verde crypto ownership
26,Cambodia crypto ownership
27,Cameroon crypto ownership
28,Canada crypto ownership
29,Cayman Islands crypto ownership
30,Chile crypto ownership
31,China crypto ownership
32,Colombia crypto ownership
33,Costa Rica crypto ownership
34,Croatia crypto ownership
35,Cuba crypto ownership
36,Cyprus crypto ownership
37,Czech Republic crypto ownership
38,Democratic Republic of Congo crypto ownership
39,Denmark crypto ownership
40,Dominican Republic crypto ownership
41,Ecuador crypto ownership
42,Egypt crypto ownership
43,El Salvador crypto ownership
44,Estonia crypto ownership
45,Ethiopia crypto ownership
46,Fiji crypto ownership
47,Finland crypto ownership
48,France crypto ownership
49,French Polynesia crypto ownership
50,Gabon crypto ownership
51,Georgia crypto ownership
52,Germany crypto ownership
53,Ghana crypto ownership
54,Greece crypto ownership
55,Guatemala crypto ownership
56,Guyana crypto ownership
57,Haití crypto ownership
58,Honduras crypto ownership
59,Hong Kong crypto ownership
60,Hungary crypto ownership
61,Iceland crypto ownership
62,India crypto ownership
63,Indonesia crypto ownership
64,Iran crypto ownership
65,Iraq crypto ownership
66,Ireland crypto ownership
67,Israel crypto ownership
68,Italy crypto ownership
69,Ivory Coast crypto ownership
70,Jamaica crypto ownership
71,Japan crypto ownership
72,Jordan crypto ownership
73,Kazakhstan crypto ownership
74,Kenya crypto ownership
75,Kuwait crypto ownership
76,Kyrgyzstan crypto ownership
77,Laos crypto ownership
78,Latvia crypto ownership
79,Lebanon crypto ownership
80,Libya crypto ownership
81,Lithuania crypto ownership
82,Luxembourg crypto ownership
83,Macao crypto ownership
84,Madagascar crypto ownership
85,Malawi crypto ownership
86,Malaysia crypto ownership
87,Maldives crypto ownership
88,Mali crypto ownership
89,Malta crypto ownership
90,Mauritius crypto ownership
91,Mexico crypto ownership
92,"Moldova, Republic of crypto ownership"
93,Monaco crypto ownership
94,Mongolia crypto ownership
95,Montenegro crypto ownership
96,Morocco crypto ownership
97,Mozambique crypto ownership
98,Myanmar crypto ownership
99,Namibia crypto ownership
100,Nepal crypto ownership
101,Netherlands crypto ownership
102,New Caledonia crypto ownership
103,New Zealand crypto ownership
104,Nicaragua crypto ownership
105,Nigeria crypto ownership
106,North Macedonia crypto ownership
107,Norway crypto ownership
108,Oman crypto ownership
109,Pakistan crypto ownership
110,Panama crypto ownership
111,Papua New Guinea crypto ownership
112,Paraguay crypto ownership
113,Peru crypto ownership
114,Philippines crypto ownership
115,Poland crypto ownership
116,Portugal crypto ownership
117,Puerto Rico crypto ownership
118,Qatar crypto ownership
119,Romania crypto ownership
120,Russia crypto ownership
121,Rwanda crypto ownership
122,Saudi Arabia crypto ownership
123,Senegal crypto ownership
124,Serbia crypto ownership
125,Seychelles crypto ownership
126,Singapore crypto ownership
127,Slovakia crypto ownership
128,Slovenia crypto ownership
129,South Africa crypto ownership
130,South Korea crypto ownership
131,Spain crypto ownership
132,Sri Lanka crypto ownership numbers
133,Suriname crypto ownership
134,Sweden crypto ownership
135,Switzerland crypto ownership
136,Syria crypto ownership
137,Tajikistan crypto ownership
138,Tanzania crypto ownership
139,Thailand crypto ownership
140,Togo crypto ownership
141,Trinidad and Tobago crypto ownership
142,Tunisia crypto ownership
143,Turkey crypto ownership
144,Turkmenistan crypto ownership
145,Uganda crypto ownership
146,Ukraine crypto ownership
147,United Arab Emirates crypto ownership
148,United Kingdom crypto ownership
149,United States crypto ownership
150,Uruguay crypto ownership
151,Uzbekistan crypto ownership
152,Venezuela crypto ownership
153,Vietnam crypto ownership
154,"Virgin Islands , U.S. crypto ownership"
155,Zambia crypto ownership
156,Zimbabwe crypto ownership
